Supplier Name,Total
Gas Advisory Services Ltd,"20814.36"
Crownwise Ltd,"20703.36"
Barnes Woodfield Limited,"20690.71"
Regard Partnership,"20540.73"
Royal Bank Of Scotland Plc,"20161.59"
Unique Personnel (Uk) Ltd,"20046.78"
Norcrest (2000) Home Limited,"19380.24"
Consensus Healthcare Ltd,"19324.07"
Glen Care Group,"19185.90"
Tracescent Ltd,"19117.28"
Holistic Community Care Ltd,"19087.27"
Leonard Cheshire Disability,"18516.07"
One Housing Group,"18446.56"
Kairos Community Trust,"18158.56"
4Children Trading Ltd,"18148.00"
Trimmer CS,"17838.91"
Integrated Services Programme,"17811.90"
Gibsons Lodge,"17804.33"
Cycle Training UK Ltd,"17410.50"
Keyring Living Support Network,"17238.56"
United Response,"17158.72"
South Bank Employers Group,"16950.21"
N Hosanee (Roselands),"16625.97"
A Z Law Solicitors,"16625.00"
Medicrest Limited t/a Acorn Care Homes,"16428.91"
Ssg Landscape Construction Ltd,"16351.76"
Gleeds Management Services Ltd,"16345.00"
Partnership in Care Ltd,"16154.10"
Royal Mencap Society,"15837.54"
Together Working for Wellbeing,"15484.96"
Barka UK,"15342.48"
Unified Care Ltd,"15269.77"
Greater London Fostering,"15143.38"
Parkcare Homes Ltd (No.2) - KENT,"15025.42"
Mcrae Residential Care Services,"15000.00"
London Mutual Credit Union,"14968.00"
Priory Secure Services Chadwick Lodge,"14880.00"
Little Sisters Of The Poor,"14757.33"
Your Story,"14737.79"
Joycare Home Services Ltd,"14652.37"
Brookdale Healthcare,"14539.00"
Consensa Care,"14469.60"
Viridian Housing,"14461.62"
Lambeth Law Centre,"14453.49"
The London Eye Company Ltd,"14421.74"
Cartel Security Systems Plc,"14325.18"
ASRA Greater London Housing Association Ltd,"14224.88"
Penrose Housing Association,"14224.84"
P E Wilson & Co,"14098.93"
BT Redcare,"14021.28"
Adminland Ltd,"13962.40"
Springfield Road Ltd,"13928.40"
Ashcroft Care Services,"13849.03"
St Elizabeth's Centre,"13561.07"
Network Rail Infrastructure Ltd,"13480.27"
Hi Life Properties Ltd,"13422.80"
Caretech Community Services Ltd,"13367.14"
Kennedys,"13264.00"
Mr Malek Wan Daud,"12860.00"
AmicusHorizon,"12850.88"
Southern Care Ltd,"12844.29"
Direct Care Ltd,"12835.80"
Foster Care Associates Ltd,"12738.45"
3rd Leg Limited,"12500.00"
Bishop Lloyd & Jackson,"12500.00"
Johnson Austin Partnership LLP,"12340.00"
Charlie Chaplin Adventure Playground,"12000.00"
Powell Forster Solictors,"11854.65"
Choice Support,"11686.56"
Ashfords,"11468.25"
Office Depot UK Ltd,"11461.35"
Cambian Care Services,"11292.99"
The Children's Family Trust,"11285.55"
Mr F Hosanee,"11253.54"
Benecare Education & Residential Child Care,"11200.00"
Queen Elizabeth Foundation For The Disabled,"11144.77"
Macintyre Care,"11110.61"
In Touch Support Ltd,"11100.00"
Amber Care (East Anglia) Ltd,"11097.36"
Keith Makin Consultancy Ltd,"11000.00"
Tinkers Hatch,"10999.76"
Inclusive Care Support,"10849.25"
Ellis Williams Architects,"10846.00"
Vietnamese Mental Health Services,"10682.96"
Enara Ltd,"10673.86"
Thames Water Utilities Ltd,"10590.42"
Seytos Residential,"10557.26"
L K Recruitment Ltd,"10477.90"
Independent Community Care Management,"10348.00"
Fostering Outcomes,"10327.48"
St Mary's Care Ltd,"10312.99"
New Economics Foundation,"10300.00"
St Davids Care In The Community,"10290.06"
St Nicholas Lodge,"10230.00"
SP Fleet Limited,"10055.44"
Road Consultants,"10000.00"
Space Makers Agency,"10000.00"
Mount Carmel,"9973.60"
Roughton London Ltd,"9970.00"
Bury Council,"9805.15"
Salvation Army,"9619.94"
The Chestnuts Limited,"9511.56"
Saffronland Homes,"9468.95"
Roseacres Residential Care Home,"9407.18"
Court Lodge,"9402.96"
Disability Adaptation Consultancy Services Ltd,"9309.59"
Vane Hill Care Homes,"9181.41"
Mr Leon Carr,"9000.00"
British Gas Services Ltd,"8976.00"
Supreme Education PLC,"8895.85"
White Rose Care,"8852.80"
Brain Injury Rehabilitation Trust,"8728.33"
Fulham FC Football & Community Scheme Ltd,"8718.00"
198 Contemporary Arts & Learning Ltd,"8712.75"
St Marys Lodge,"8677.74"
Kirkdale Care Centre,"8525.05"
Thornton Lodge Residential Home,"8442.23"
Glancestyle Care Homes Ltd,"8388.29"
Ashby Cohen Solicitors Ltd,"8333.33"
Next Step Fostering,"8305.50"
Knights Youth Centre,"8167.00"
Peter De Haan Charitable Trust,"8167.00"
Independent Lifestyles LLP,"8147.03"
Ove Arup & Partners Ltd,"8120.00"
Wimborne House Ltd,"7927.15"
Voyage,"7734.82"
The Priory Grange St Neots,"7718.86"
Judge & Priestley Solicitors,"7696.55"
Energy Auditing Agency Limited,"7664.00"
Stockwell Partnership,"7612.00"
Virgin Media Business,"7572.85"
Kingsmead Nursing Home,"7559.97"
Gretton Homes,"7454.48"
Ashbrook House Ltd,"7366.22"
16 Plus Independent Living Project,"7340.88"
Knights Court,"7317.11"
Barnardo Services Ltd,"7308.00"
Cascade Care,"7299.92"
ARVAL PHH,"7267.56"
A Yeatman & Sons Ltd,"7232.00"
International Visual Ltd,"7200.00"
N Notaro Home Ltd.,"7180.72"
LKA Educational Consultancy,"7125.00"
Home Farm Trust Ltd,"7118.84"
Graham Moody Associates Ltd,"6875.36"
Quality Protects Children Ltd,"6857.14"
G M B,"6773.96"
The Swallows,"6703.52"
Priory Rehabilitation Services Ltd Grange Potters Bar,"6690.25"
Scope,"6685.32"
Rosedene Nursing Home,"6682.81"
Black Cultural Archives,"6639.66"
Mission Care,"6584.83"
Orbis Property Protection Ltd,"6500.00"
Tcs Cad & Graphic Solutions Ltd,"6470.00"
Erect Architecture,"6414.47"
Browne Jacobson Solicitors,"6367.50"
Barchester Healthcare Homes Ltd,"6311.35"
Vitalise,"6150.00"
Castlebar Health Care Ltd,"6139.60"
Richardson Partnership Care,"6123.34"
Albany Lodge Nursing Home,"6111.91"
Kenson Network Engineering Ltd,"6105.00"
Ashdene House Ltd,"6067.94"
Clear Channel UK Ltd,"6000.00"
Whole Nine Yards Productions Ltd.,"6000.00"
See Ability,"5985.11"
Royal Association for Deaf People,"5941.00"
Muf Architecture Art,"5825.00"
Futuresteps Ltd,"5803.01"
High View Care Services Ltd,"5757.14"
Truecare Group Ltd,"5753.82"
HLMAD Ltd,"5750.00"
SV LAW,"5750.00"
Care of Three Ltd,"5745.85"
Notting Hill Housing Trust,"5698.90"
Database Developments Ltd,"5666.00"
Aitch Care Homes Ltd,"5651.34"
Sternberg Reed Taylor & Gill Sols,"5636.00"
Supreme Care Services Ltd,"5591.07"
National Society For Epilepsy,"5560.42"
Sunbeam Day Nursery,"5500.00"
Aspect Construction,"5495.00"
Ashchurch House Ltd,"5462.20"
Scan Coin Ltd,"5427.60"
Community Trust Housing,"5424.33"
CT Plus,"5358.45"
Barlow Lyde & Gilbert,"5340.50"
Salisbury Support Services Ltd,"5261.72"
Dawsons Music Ltd,"5259.74"
Glasdon Manufacturing Ltd,"5216.70"
The Frances Taylor Foundation,"5206.49"
Kendall Cars,"5138.00"
Anchor Trust,"5108.88"
Parkcare Homes No 2 Ltd,"5108.52"
South London Family Centre,"5060.00"
Hope Worldwide,"5027.60"
T. V. Edwards LLP,"5000.00"
Snow-Camp,"4999.50"
BUPA Care Services,"4990.38"
The Fostering Partnership,"4989.29"
Lakeside Nursing & Residential Home,"4967.75"
Linton Fuel Oils Ltd,"4947.50"
Link Fostering Agency,"4853.32"
Parkeon Ltd,"4833.80"
Handymans Corner (Brixton) Ltd,"4800.62"
Wrixon Care Services,"4792.25"
Treasure House (London) CIC,"4760.00"
Broadgate Communications,"4756.00"
Milbury Care Services Ltd,"4694.95"
Futures Theatre Company,"4666.00"
Outer Temple Chambers,"4650.00"
Fieldside Care Home,"4646.85"
Chigwell Construction (London) Ltd,"4585.00"
Beecholme Adult Care,"4561.43"
Gardiner & Theobald LLP,"4500.00"
White Young Green Consulting Ltd,"4408.25"
Capital Cars,"4391.00"
Automotive Leasing Limited,"4348.50"
Avens Ltd,"4295.04"
East View Housing,"4290.71"
Workspace Group Plc,"4277.84"
Residential Community Care Ltd,"4226.20"
Cameron Lodge Residential Care,"4224.64"
Hilldales Residential Care Homes,"4207.15"
First Care Lodge Ltd,"4207.14"
Champions Place,"4195.98"
Birdel Flooring Contractors Ltd,"4123.00"
Beacon House Nursing Home,"4119.28"
Allied Supported Living Ltd,"4110.29"
Acorn Village,"4092.12"
Chislehurst Care Ltd,"4062.37"
Unicorn House,"4054.80"
Cobbetts LLP,"4053.20"
Thf Care Estates Ltd,"4029.11"
Baily Garner,"4000.00"
Lambeth Unison,"4000.00"
Khair Day care,"3990.00"
Oakfield Easton Maudit Ltd,"3981.95"
RNID T/A Action On Hearing Loss,"3973.89"
Scotts Project Trust,"3896.56"
Citibank NA,"3885.98"
Priory The Vines,"3846.22"
AmicusHorizon Ltd,"3840.08"
Graham House Residential Care Home,"3826.45"
Goodwill Associates Limited,"3815.00"
PHS Group Ltd,"3766.53"
Independent Lifestyle Options DCA Ltd,"3764.28"
Mrs Shan Pinna-Griffith,"3750.00"
Ascendit Lifts Ltd,"3725.00"
British Telecommunications Plc,"3704.21"
Aintree Day Nursery & Kids Club,"3675.00"
George Potter Care Home Limited,"3627.56"
Victim Support Lambeth,"3616.47"
Hopperways Limited,"3600.00"
TLT LLP,"3533.00"
L'Ouverture Trust Limited,"3500.00"
Askews and Holts Library Services Ltd,"3489.39"
Atlantic Lodge (Housing) Ltd,"3480.00"
Watmores Solicitors,"3470.00"
Raglan Housing Association,"3454.80"
Eversheds LLP,"3354.00"
Orchids Fostering for Children LLP,"3199.84"
Cherrycroft Care Home Limited,"3198.27"
Lambeth Contact A Family,"3158.95"
Milton Court Care Centre,"3131.00"
Sunbeam Fostering Agency Ltd,"3125.59"
Tycos UK Ltd,"3105.00"
Holmdene Housing Ltd,"3104.00"
Acton Writers Forum,"3100.00"
Bupa Care Homes† Seabrooke Manor Residential & Nursing Home,"3077.06"
Living Accomodation Ltd,"3034.00"
TBS Adaptations Ltd,"3016.92"
Ashmill Residential Care Home Ltd,"2994.83"
Royal Masonic Benevolent Institution,"2957.15"
David Lewis Centre,"2953.51"
The Friendly Almshouses,"2940.56"
Sir Frederick Snow & Partners Ltd,"2925.00"
Access Mobility Transport Ltd,"2908.00"
Workspace Management Plc,"2881.66"
Alice Lodge,"2878.58"
Serenita Care Home,"2878.57"
Families For Children (South) Ltd,"2877.84"
Evelyn Grace Academy,"2820.00"
Healthcare & Transport Services,"2794.60"
Dunheved Lodge,"2759.00"
Beulah House Hotel,"2745.00"
Haverstock Associates LLP,"2732.00"
RSP Rail Travel Account,"2711.80"
Document Technology Ltd,"2695.00"
LexisNexis Butterworths,"2693.00"
Nellsar Ltd,"2685.44"
Hillcrest Care Ltd,"2675.31"
