Supplier Name,Sum of Invoice Nett Amount
Meadbank Nursing Centre,1736.27
The Friendly Almshouses,1729.72
OAK Residential Home,1725.82
Vermont Lodge,1725.46
Nicholas James Care Homes Ltd,1713.99
Pearl House,1713.06
Peters Ltd,1710.59
New Century Care Ltd,1688.04
Kenwood Care Home,1679.27
Standard Bank,1667.00
Judy Watchman,1650.00
God's Ports Housing Society Ltd,1648.14
Pelham House,1619.53
Bourne Housing Society Ltd,1617.44
Edward Ofori- Afriye,1600.00
Colin Buchanan And Partners,1597.72
Elmwood Nursing Home,1590.43
Rehab Repair & Supply Ltd,1575.00
Welland Medical (Leicester),1568.75
Beckenham & Bromley Heating Services Ltd,1568.68
Farmstead Nursing Home,1567.63
Share Community Ltd,1560.60
F J Barritt Transport,1560.00
"Weybourne Residential Care Home, Avante Partnership",1547.12
Jewish Community Housing Association Ltd,1541.12
The Oaks Nursing Centre,1540.21
MAS Systems Ltd,1536.00
Surrey Rest Homes Ltd,1527.19
Rediweld Traffic Products,1519.80
The Warren Residential Home,1504.39
Proun Architects,1500.00
London Leisure Services Ltd,1500.00
Premier Publishing Ltd,1500.00
The City Literary Institute,1500.00
Moorwood Cottage,1497.03
Epsom Lodge Carer Home LTD,1484.46
TPAS Ltd,1482.00
Praesmohr House,1480.00
Clarendon Nursing Home,1478.48
Garth House Nursing Home,1475.24
Rnb Engineering,1475.00
Tudor House,1469.00
Addlestone Lodge,1467.67
All About Care,1464.53
CHD (Care Homes) Ltd,1463.56
Royal Mail Group Plc,1456.07
Saffronland Homes,1452.31
Hayes Court,1437.73
Elizabethan Security,1433.00
A Yeatman & Sons Ltd,1427.00
Amanda Holtby,1425.69
Foxley Lodge,1419.05
Wernick Hire Ltd,1417.14
Autumn Lodge Care Home,1412.49
Chanctonbury Healthcare Ltd,1399.78
Mr Armando Shehu,1390.00
George Browns,1386.00
Somerset Care,1384.01
Virgin Media Business,1367.10
Unique Office Solutions Ltd,1366.20
The Yates Practice Ltd,1361.33
Chandlers Ltd,1360.30
The Open University,1360.00
Michael Dolphin,1350.00
Linda Mann,1350.00
West Lodge Residential Care Home,1344.96
Westholme Clinic Ltd,1342.66
Surrey Heights,1338.45
St Helens Lodge,1331.40
Abbeyfield Society Ltd,1316.72
Assisi Community Care,1301.91
Gillian Crew,1300.00
Clarence Nursing Home,1299.88
Mr Ibne Meeajan,1290.00
Hooklands Nursing Home,1289.51
Elizabeth Court Rest Home,1283.04
Little Hayes Care Home,1282.96
Ashton Lodge,1282.96
Camphill Village Trust,1279.60
Christian Care Trust,1278.26
Project Centre,1273.00
Bell Brush,1260.00
Mr Kieron Hanlon,1258.52
Beverley Grange Nursing Home,1251.03
LDC Ltd,1250.03
Ayerst Environmental Ltd,1250.00
CIPFA,1250.00
High Sports Holdings Ltd,1250.00
Mears,1247.86
Idox Software Ltd,1247.64
Crowndale Medical Centre,1232.00
Blanchworth Care,1230.88
The Media Services Company,1230.00
ISS Ltd,1230.00
Wardell Associates,1200.00
Liz O'Rourke Training Consultancy Ltd,1200.00
Cowley EMB Ltd,1200.00
Barrettine,1182.88
Portakabin Limited,1164.53
AXA ICAS Occupational Health Services Ltd,1161.80
Asm Accessories,1158.10
Rutland Residential Care Home,1146.30
Inititial Medical Services,1144.50
Gas Advisory Services Ltd,1133.16
Waterloo Quarter Business Alliance,1127.00
Action For Blind People,1117.20
Bankway Properties Ltd,1111.11
Chubb Fire Ltd,1101.03
Reality Bytes,1097.87
Grace Eyre Foundation,1084.24
Iroko Housing Co-Operative,1083.00
Aquarius Group,1082.48
Bromley By Bow Centre,1080.00
Pulstar Dataprint Ltd,1078.85
SES Care Homes Ltd,1065.87
Greensleeves Homes Trust,1053.73
Newstart Training Ltd,1050.00
"Ashbourne Homes Ltd, Broome End care Centre",1032.48
NowMedical,1010.00
SGS United Kingdom Ltd,1005.00
Solace Community Care Ltd,1000.56
Holmewood Nursery School and Tree House Children's Centre,1000.00
Gary Walker,1000.00
FS Properties,1000.00
Prosolve Software Ltd,995.00
Ms Desnet Silassie,985.00
Equifax Plc,957.00
Arlington House Residential Home,936.42
Stanthorpe Hotel,930.00
Stanthorpe Guest House,930.00
Personal Security Services Ltd,927.30
Red Alert Ltd,907.35
Mrs Miraj Aziz,900.00
Mr Rory Clarke,900.00
D Sully & Son Limited,900.00
Acumension Ltd,863.23
Willings Services Ltd,855.80
Zetetick Housing,837.20
Significant Ltd,833.25
Specialist Computer Centers Plc,832.00
Christopher Barnes,822.50
London Metropolitan University,820.00
Mrs Ruth Fuller,814.60
Ashmount Care Home with Nursing,814.51
J C Decaux Uk Ltd,814.00
Rosedale Rest Home,813.64
Royal National Theatre,809.63
Abbeyfield Dorcas Society,806.36
Ms Carmeleta Mayne,802.84
Dudwell St. Mary Care Home,800.21
Zoom In Ltd,800.00
JK Creative Arts Management Ltd,800.00
Stephen Fitzpatrick,800.00
Architects Design Partnership LLP,800.00
Pacca TMO Ltd,800.00
SGN Connections Ltd,796.00
The Community Technology Project,784.50
Alliance Publishing Company,750.00
Airwave Solutions,733.97
Holmwood Nursing Home Ltd,732.40
Funeralcare,732.00
Streetmaster Products,730.00
TechReady,730.00
Ritec Decorators Ltd,728.74
Making Connections,725.00
Performing Right Society Ltd,716.71
Anna House,714.28
Express News,712.00
Chain Gang Limited,711.76
StayAhead Training Ltd,700.00
Simorg Limited,696.60
The Lifecare Centre,692.00
Airtight & Co,690.00
Office Depot UK Ltd,689.95
Leighton Goldhill,687.50
Fostering & Adoptions,684.25
Mrs A L Elder,680.00
Veecare Ltd t/a Tralee Rest Home,677.22
Chris Yates Parking Associates Ltd,677.08
National Energy Action,667.00
Mr Delva Chambers,666.00
Askews Library Services Ltd,664.76
Port Regis,661.32
Camden Society,660.00
Norman Mark Training,650.00
GLS Educational Supplies Ltd,648.25
Vertal Ltd,647.00
Aintree Day Nursery & Kids Club,640.00
Rosedene Nursing Home,637.46
Premier Security Solutions Ltd,636.80
Lambeth Positive Families,626.89
Francis McMahon,621.11
G4S Care & Justice Services (UK) Ltd,617.50
The Lucy Faithfull Foundation,615.67
Hewlett Packard Ltd,614.00
Your Story,600.00
Participation Works,600.00
Mayor's & City Of London County Court,600.00
Christ Church Gipsy Hill Parochial Church Council,590.00
Arjo Ltd,587.32
Axcis Education Recruitment,585.00
Welters Organisation Worldwide,579.00
Hampton Project Ltd,575.00
Life Style Care Plc,573.70
Mark Insulations Ltd,572.10
Central Business Machines Ltd,572.00
Linbrook Services Ltd,569.95
Rnib Services Ltd,566.55
Jacqueline Delaney,562.35
Elementa Consulting Ltd,558.60
Allabouthair,555.00
Headway,550.08
Savoy Computing Services Ltd,546.00
Alan Clarke,540.00
Guiness Trust Estate,537.80
Moments Fostering Ltd,525.00
Woodside Lodge,520.00
Pitney Bowes Finance PLC,512.00
Creative Environmental Networks,511.52
Test Valley Mobility,510.00
Beulah House Hotel,510.00
ADCRIS C.I.C,501.32
