ADDRESS,STATION,HOURS,TELEPHONE,POSTCODE,EASTING,NORTHING
"367 Brixton Road, London, SW9 7DD",Brixton,"24 hours, 7 days a week",020 7326 1212,SW9 7DD,531147.1289,175660.7192
"49-51 Kennington Road, London, SE1 7QA",Kennington,"24 hours, 7 days a week.",020 7326 1212,SE1 7QA,531183.1719,179280.2184
"51 Union Grove, London, SW8 2QU",Clapham,Mon-Fri 10am to 6pm,020 7326 1212,SW8 2QU,529759.0328,176369.8067
"101 Streatham High Road, SW16 1HJ",Streatham,"24 hours, 7 days a week.",020 7326 1212,SW16 1HJ,530124.5004,171804.5063
"66 Central Hill, London, SE19 1DT",Gipsy Hill,Mon-Fri 8am to 11pm,020 7326 1212,SE19 1DT,533290.4148,170712.0588
"47 Cavendish Road, London, SW12 0BL",Clapham,Mon-Fri 10am to 6pm,020 7326 1212,SW12 0BL,529155.2842,174290.3378
