CENTRE NAME,ADDRESS,POSTCODE,TELEPHONE,OPENING_HOURS,MAP_EAST,MAP_NORTH
Ferndale Community Sports Centre,Nursery Road,SW9 8BP,0845 130 8998,Monday - Friday 9:30am - 10:00pm Saturday & Sunday 9:00am - 6:00pm,530844.3658,175478.727
Flaxman Sports Centre,Carew Street,SE5 9DF,020 7926 1054,Monday - Friday 7:00am - 10:30pm Saturday & Sunday 9:00am - 5:00pm,532062.447,176442.5493
Brockwell Lido,Dulwich Road,SE24 0PA,020 7274 3088,Monday - Friday 6:30am - 10:00pm Saturday 7:30am - 9:30pm Sunday 7:30am - 9:00pm,531653.728,174382.958
Brixton Recreation Centre,27 Brixton Station Road,SW9 8QQ,020 7095 5100,Monday - Friday 7:00am - 10:00pm Saturday & Sunday 8:00am - 8:00pm,531158.2876,175539.6954
Clapham Leisure Centre,Clapham Manor Street,SW4 6DB,020 7627 7900,Monday - Friday 7:00am - 10:00pm Saturday 8:00am - 6:00pm Sunday 8:00am - 9:00pm,529686.2934,175555.7337
